Offset,Instruction
00102000,SUB RSP,0x8
00102004,MOV RAX,qword ptr [0x0010afd0]
0010200b,TEST RAX,RAX
0010200e,JZ 0x00102012
00102010,CALL RAX
00102012,ADD RSP,0x8
00102016,RET
00102020,PUSH qword ptr [0x0010aff0]
00102026,JMP qword ptr [0x0010aff8]
00102030,JMP qword ptr [0x0010b000]
00102036,PUSH 0x0
0010203b,JMP 0x00102020
00102040,JMP qword ptr [0x0010b008]
00102046,PUSH 0x1
0010204b,JMP 0x00102020
00102050,JMP qword ptr [0x0010b010]
00102056,PUSH 0x2
0010205b,JMP 0x00102020
00102060,JMP qword ptr [0x0010b018]
00102066,PUSH 0x3
0010206b,JMP 0x00102020
00102070,JMP qword ptr [0x0010b020]
00102076,PUSH 0x4
0010207b,JMP 0x00102020
00102080,JMP qword ptr [0x0010b028]
00102086,PUSH 0x5
0010208b,JMP 0x00102020
00102090,JMP qword ptr [0x0010b030]
00102096,PUSH 0x6
0010209b,JMP 0x00102020
001020a0,JMP qword ptr [0x0010b038]
001020a6,PUSH 0x7
001020ab,JMP 0x00102020
001020b0,JMP qword ptr [0x0010b040]
001020b6,PUSH 0x8
001020bb,JMP 0x00102020
001020c0,JMP qword ptr [0x0010b048]
001020c6,PUSH 0x9
001020cb,JMP 0x00102020
001020d0,JMP qword ptr [0x0010b050]
001020d6,PUSH 0xa
001020db,JMP 0x00102020
001020e0,JMP qword ptr [0x0010b058]
001020e6,PUSH 0xb
001020eb,JMP 0x00102020
001020f0,JMP qword ptr [0x0010b060]
001020f6,PUSH 0xc
001020fb,JMP 0x00102020
00102100,JMP qword ptr [0x0010b068]
00102106,PUSH 0xd
0010210b,JMP 0x00102020
00102110,JMP qword ptr [0x0010b070]
00102116,PUSH 0xe
0010211b,JMP 0x00102020
00102120,JMP qword ptr [0x0010b078]
00102126,PUSH 0xf
0010212b,JMP 0x00102020
00102130,JMP qword ptr [0x0010b080]
00102136,PUSH 0x10
0010213b,JMP 0x00102020
00102140,JMP qword ptr [0x0010b088]
00102146,PUSH 0x11
0010214b,JMP 0x00102020
00102150,JMP qword ptr [0x0010b090]
00102156,PUSH 0x12
0010215b,JMP 0x00102020
00102160,JMP qword ptr [0x0010b098]
00102166,PUSH 0x13
0010216b,JMP 0x00102020
00102170,JMP qword ptr [0x0010b0a0]
00102176,PUSH 0x14
0010217b,JMP 0x00102020
00102180,JMP qword ptr [0x0010b0a8]
00102186,PUSH 0x15
0010218b,JMP 0x00102020
00102190,JMP qword ptr [0x0010b0b0]
00102196,PUSH 0x16
0010219b,JMP 0x00102020
001021a0,JMP qword ptr [0x0010b0b8]
001021a6,PUSH 0x17
001021ab,JMP 0x00102020
001021b0,JMP qword ptr [0x0010b0c0]
001021b6,PUSH 0x18
001021bb,JMP 0x00102020
001021c0,JMP qword ptr [0x0010b0c8]
001021c6,PUSH 0x19
001021cb,JMP 0x00102020
001021d0,JMP qword ptr [0x0010b0d0]
001021d6,PUSH 0x1a
001021db,JMP 0x00102020
001021e0,JMP qword ptr [0x0010b0d8]
001021e6,PUSH 0x1b
001021eb,JMP 0x00102020
001021f0,JMP qword ptr [0x0010b0e0]
001021f6,PUSH 0x1c
001021fb,JMP 0x00102020
00102200,JMP qword ptr [0x0010b0e8]
00102206,PUSH 0x1d
0010220b,JMP 0x00102020
00102210,JMP qword ptr [0x0010b0f0]
00102216,PUSH 0x1e
0010221b,JMP 0x00102020
00102220,JMP qword ptr [0x0010b0f8]
00102226,PUSH 0x1f
0010222b,JMP 0x00102020
00102230,JMP qword ptr [0x0010b100]
00102236,PUSH 0x20
0010223b,JMP 0x00102020
00102240,JMP qword ptr [0x0010b108]
00102246,PUSH 0x21
0010224b,JMP 0x00102020
00102250,JMP qword ptr [0x0010b110]
00102256,PUSH 0x22
0010225b,JMP 0x00102020
00102260,JMP qword ptr [0x0010b118]
00102266,PUSH 0x23
0010226b,JMP 0x00102020
00102270,JMP qword ptr [0x0010b120]
00102276,PUSH 0x24
0010227b,JMP 0x00102020
00102280,JMP qword ptr [0x0010b128]
00102286,PUSH 0x25
0010228b,JMP 0x00102020
00102290,JMP qword ptr [0x0010b130]
00102296,PUSH 0x26
0010229b,JMP 0x00102020
001022a0,JMP qword ptr [0x0010b138]
001022a6,PUSH 0x27
001022ab,JMP 0x00102020
001022b0,JMP qword ptr [0x0010b140]
001022b6,PUSH 0x28
001022bb,JMP 0x00102020
001022c0,JMP qword ptr [0x0010b148]
001022c6,PUSH 0x29
001022cb,JMP 0x00102020
001022d0,JMP qword ptr [0x0010b150]
001022d6,PUSH 0x2a
001022db,JMP 0x00102020
001022e0,JMP qword ptr [0x0010b158]
001022e6,PUSH 0x2b
001022eb,JMP 0x00102020
001022f0,JMP qword ptr [0x0010b160]
001022f6,PUSH 0x2c
001022fb,JMP 0x00102020
00102300,JMP qword ptr [0x0010b168]
00102306,PUSH 0x2d
0010230b,JMP 0x00102020
00102310,JMP qword ptr [0x0010b170]
00102316,PUSH 0x2e
0010231b,JMP 0x00102020
00102320,JMP qword ptr [0x0010b178]
00102326,PUSH 0x2f
0010232b,JMP 0x00102020
00102330,JMP qword ptr [0x0010b180]
00102336,PUSH 0x30
0010233b,JMP 0x00102020
00102340,JMP qword ptr [0x0010b188]
00102346,PUSH 0x31
0010234b,JMP 0x00102020
00102350,JMP qword ptr [0x0010b190]
00102356,PUSH 0x32
0010235b,JMP 0x00102020
00102360,JMP qword ptr [0x0010b198]
00102366,PUSH 0x33
0010236b,JMP 0x00102020
00102370,JMP qword ptr [0x0010b1a0]
00102376,PUSH 0x34
0010237b,JMP 0x00102020
00102380,JMP qword ptr [0x0010b1a8]
00102386,PUSH 0x35
0010238b,JMP 0x00102020
00102390,JMP qword ptr [0x0010afe0]
001023c0,MOV RAX,0x5858585858582e
001023ca,PUSH R15
001023cc,PUSH R14
001023ce,PUSH R13
001023d0,LEA R13,[0x1060ae]
001023d7,PUSH R12
001023d9,LEA R12,[0x106380]
001023e0,PUSH RBP
001023e1,MOV EBP,EDI
001023e3,PUSH RBX
001023e4,MOV RBX,RSI
001023e7,SUB RSP,0x58
001023eb,MOVDQA XMM0,xmmword ptr [0x001076b0]
001023f3,MOV byte ptr [RSP + 0x20],0x0
001023f8,MOVAPS xmmword ptr [RSP + 0x10],XMM0
001023fd,MOVDQA XMM0,xmmword ptr [0x001076c0]
00102405,MOVAPS xmmword ptr [RSP + 0x30],XMM0
0010240a,MOV qword ptr [RSP + 0x3e],RAX
0010240f,MOV RDX,R13
00102412,MOV RSI,RBX
00102415,MOV EDI,EBP
00102417,CALL 0x00102300
0010241c,CMP EAX,-0x1
0010241f,JZ 0x001026c8
00102425,SUB EAX,0x68
00102428,CMP EAX,0xe
0010242b,JA 0x00102440
0010242d,MOVSXD RAX,dword ptr [R12 + RAX*0x4]
00102431,ADD RAX,R12
00102434,JMP RAX
00102440,MOV EAX,dword ptr [0x0010b558]
00102446,LEA R13D,[RAX + -0x2]
0010244a,MOV RAX,qword ptr [RBX]
0010244d,MOV qword ptr [0x0010b688],RAX
00102454,MOVSXD RAX,R13D
00102457,LEA R12,[RBX + RAX*0x8]
0010245b,MOV RAX,qword ptr [R12 + 0x8]
00102460,TEST RAX,RAX
00102463,JZ 0x00102674
00102469,CMP qword ptr [R12 + 0x10],0x0
0010246f,JZ 0x00102612
00102475,MOV RDI,qword ptr [R12 + 0x8]
0010247a,CMP byte ptr [RDI],0x40
0010247d,JZ 0x001025cc
00102483,LEA R14,[RSP + 0x10]
00102488,MOV RDI,R14
0010248b,CALL 0x00102260
00102490,MOV qword ptr [RSP + 0x8],R14
00102495,MOV EBX,EAX
00102497,CMP EAX,-0x1
0010249a,JZ 0x0010268c
001024a0,MOV RDI,qword ptr [RSP + 0x8]
001024a5,SUB EBP,R13D
001024a8,CALL 0x00102080
